name,population,countryId
Taiwan,"23,773,876",1
Hong Kong,"7,436,154",1
Puerto Rico,"2,933,408",3
Réunion,"888,927",22
Macao,"640,445",1
Western Sahara,"582,463",null
Guadeloupe,"400,056",22
Martinique,"375,554",22
French Guiana,"290,832",22
New Caledonia,"282,750",22
French Polynesia,"279,287",22
Mayotte,"266,150",22
Channel Islands,"172,259",21
Guam,"167,294",3
Curaçao,"163,424",67
Aruba,"106,314",67
U.S. Virgin Islands,"104,578",3
Isle of Man,"84,584",21
Cayman Islands,"64,948",21
Bermuda,"62,506",21
Northern Mariana Islands,"57,216",3
Greenland,"56,672",113
American Samoa,"55,312",3
Faeroe Islands,"48,678",113
Sint Maarten,"42,388",67
Turks and Caicos,"38,191",21
Gibraltar,"33,701",21
British Virgin Islands,"30,030",21
Caribbean Netherlands,"25,979",67
Cook Islands,"17,548",123
Anguilla,"14,869",21
Wallis & Futuna,"11,432",22
Saint Barthelemy,"9,847",22
Saint Helena,"6,059",21
Saint Pierre & Miquelon,"5,822",22
Montserrat,"4,989",21
Falkland Islands,"3,377",21
Niue,"1,615",123
Tokelau,"1,340",123
